1,1664968
2,3
2,747213
2,1664968
2,1691047
2,4095634
2,5535664
3,9
3,77935
3,79583
3,84707
3,564578
3,594898
3,681805
3,681886
3,835470
3,880698
3,1109091
3,1125108
3,1279972
3,1463445
3,1497566
3,1783284
3,1997564
3,2006526
3,2070954
3,2250217
3,2268713
3,2276203
3,2374802
3,2571397
3,2640902
3,2647217
3,2732378
3,2821237
3,3088028
3,3092827
3,3211549
3,3283735
3,3491412
3,3492254
3,3498305
3,3505664
3,3547201
3,3603437
3,3617913
3,3793767
3,3907547
3,4021634
3,4025897
3,4086017
3,4183126
3,4184025
3,4189168
3,4192731
3,4395141
3,4899940
3,4987592
3,4999120
3,5017477
3,5149173
3,5149311
3,5158741
3,5223097
3,5302153
3,5474252
3,5535280
4,145
5,8
5,57544
5,58089
5,60048
5,65880
5,284186
5,313376
5,564578
5,717529
5,729993
5,1097284
5,1204280
5,1204407
5,1255317
5,1670218
5,1720928
5,1850305
5,2269887
5,2333350
5,2359764
5,2640693
5,2743982
5,3303009
5,3322952
5,3492254
5,3573013
5,3721693
5,3797343
